date,close,high,low,open,volume,ret
2016-12-15,1127.800049,1143.300049,1123.900024,1139.800049,244,-0.0288469806135347
2016-12-16,1135.300049,1140.900024,1126.900024,1126.900024,146,0.00665011497973422
2016-12-19,1140.5,1140.699951,1137.900024,1139.400024,249,0.00458024379068811
2016-12-20,1131.5,1133.5,1126.5,1133.5,46,-0.00789127575624726
2016-12-21,1131.099976,1136.099976,1130.0,1136.099976,50,-0.00035353424657536
2016-12-22,1128.800049,1132.800049,1128.300049,1131.199951,104,-0.00203335430006235
2016-12-23,1131.900024,1132.800049,1130.300049,1130.900024,70,0.00274625696796016
2016-12-27,1137.300049,1142.199951,1134.300049,1134.300049,84,0.00477076145021793
2016-12-28,1139.400024,1141.199951,1138.0,1141.199951,1570,0.00184645644027404
2016-12-29,1156.400024,1158.800049,1143.599976,1143.800049,950,0.0149201330892723
2016-12-30,1150.0,1162.0,1150.0,1162.0,16,-0.00553443779589546
2017-01-03,1160.400024,1160.800049,1146.5,1155.199951,52,0.0090434991304349
2017-01-04,1163.800049,1165.0,1156.300049,1156.300049,36,0.00293004561330479
2017-01-05,1179.699951,1183.300049,1171.5,1172.0,500,0.0136620564792571
2017-01-06,1171.900024,1176.5,1171.900024,1176.5,16,-0.00661178886494673
2017-01-09,1183.5,1183.599976,1173.0,1173.900024,62,0.00989843481733721
2017-01-10,1184.199951,1188.900024,1182.300049,1184.300049,8,0.000591424588086253
2017-01-11,1195.599976,1197.0,1176.5,1187.5,20,0.00962677374743448
2017-01-12,1198.900024,1204.300049,1192.300049,1192.699951,110,0.00276016064423201
2017-01-13,1195.300049,1196.0,1187.699951,1195.699951,65,-0.0030027316105885
2017-01-17,1212.0,1214.599976,1200.800049,1205.5,79,0.0139713463694504
2017-01-18,1211.300049,1214.699951,1203.099976,1213.599976,114,-0.000577517326732724
2017-01-19,1200.900024,1204.0,1195.800049,1200.5,26,-0.00858583718260864
2017-01-20,1204.300049,1212.099976,1202.800049,1202.800049,38,0.00283123068702662
2017-01-23,1215.0,1215.0,1210.0,1212.0,16,0.00888478831241835
2017-01-24,1210.300049,1219.0,1207.699951,1219.0,24,-0.0038682724279836
2017-01-25,1197.300049,1202.800049,1194.900024,1202.0,403,-0.0107411381258236
2017-01-26,1189.5,1199.699951,1185.599976,1199.699951,19,-0.0065146986392548
2017-01-27,1188.099976,1188.300049,1187.900024,1187.900024,234352,-0.00117698528793608
2017-01-30,1193.199951,1198.5,1187.099976,1191.699951,50503,0.00429254701037052
2017-01-31,1208.599976,1214.699951,1193.5,1194.900024,3212,0.0129064914787278
2017-02-01,1205.599976,1211.900024,1197.900024,1211.900024,1145,-0.00248221087173017
2017-02-02,1216.699951,1224.199951,1208.900024,1209.699951,1512,0.0092070132887927
2017-02-03,1218.5,1220.599976,1206.199951,1214.900024,865,0.00147945185542286
2017-02-06,1230.0,1235.400024,1218.5,1221.900024,908,0.00943783340172333
2017-02-07,1234.199951,1236.199951,1228.5,1234.199951,1177,0.0034145943089432
2017-02-08,1237.599976,1243.900024,1231.0,1232.099976,288,0.00275484130204751
2017-02-09,1235.099976,1243.5,1226.900024,1239.400024,885,-0.00202003882391799
2017-02-10,1234.400024,1234.400024,1221.5,1227.599976,391,-0.000566716876043372
2017-02-13,1224.400024,1231.099976,1219.0,1230.5,398,-0.00810110159233113
2017-02-14,1223.900024,1233.5,1222.099976,1225.900024,159,-0.000408363271969359
2017-02-15,1231.699951,1231.699951,1217.300049,1225.5,175,0.00637300992486955
2017-02-16,1240.0,1240.699951,1233.199951,1234.5,87,0.00673869394348947
2017-02-17,1237.599976,1241.199951,1234.800049,1240.699951,301,-0.00193550322580649
2017-02-21,1237.5,1237.5,1228.099976,1237.300049,119,-8.07821605839365e-05
2017-02-22,1232.0,1238.599976,1231.800049,1236.099976,36,-0.00444444444444447
2017-02-23,1250.199951,1250.300049,1236.099976,1236.099976,112,0.0147726875
2017-02-24,1256.900024,1258.800049,1250.0,1250.0,1264,0.00535920113789867
2017-02-27,1257.400024,1263.099976,1250.400024,1254.699951,544,0.000397804113654754
