date,close,forecast_date,y,lag_1,lag_2,lag_3,lag_5,lag_10,lag_21,rolling_mean_7,rolling_mean_21,rolling_mean_63
2024-05-22,2389.199951,2024-05-22,2389.199951,2421.699951,2433.899902,2412.199951,2388.699951,2313.600098,2327.699951,2397.01423,2347.095226,2260.274594
2024-05-23,2335.0,2024-05-23,2335.0,2389.199951,2421.699951,2433.899902,2380.0,2332.100098,2324.5,2394.385672,2347.595226,2264.979357
2024-05-24,2332.5,2024-05-24,2332.5,2335.0,2389.199951,2421.699951,2412.199951,2367.300049,2329.800049,2386.357108,2347.723796,2269.804753
2024-05-28,2355.199951,2024-05-28,2355.199951,2332.5,2335.0,2389.199951,2433.899902,2336.100098,2334.800049,2382.814244,2348.695219,2274.903165
2024-05-29,2340.300049,2024-05-29,2340.300049,2355.199951,2332.5,2335.0,2421.699951,2353.399902,2345.399902,2372.542829,2348.452369,2279.780944
2024-05-30,2342.899902,2024-05-30,2342.899902,2340.300049,2355.199951,2332.5,2389.199951,2388.699951,2291.399902,2359.542829,2350.90475,2284.498403
2024-05-31,2322.899902,2024-05-31,2322.899902,2342.899902,2340.300049,2355.199951,2335.0,2380.0,2299.899902,2345.428537,2351.999988,2288.244435
2024-06-03,2346.600098,2024-06-03,2346.600098,2322.899902,2342.899902,2340.300049,2332.5,2412.199951,2299.199951,2339.342843,2354.257138,2291.877771
2024-06-04,2325.5,2024-06-04,2325.5,2346.600098,2322.899902,2342.899902,2355.199951,2433.899902,2299.0,2337.9857,2355.519043,2294.92539
2024-06-05,2354.100098,2024-06-05,2354.100098,2325.5,2346.600098,2322.899902,2340.300049,2421.699951,2321.600098,2341.071429,2357.066662,2298.160311
2024-06-06,2370.300049,2024-06-06,2370.300049,2354.100098,2325.5,2346.600098,2342.899902,2389.199951,2315.199951,2343.228585,2359.690476,2301.530153
2024-06-07,2305.199951,2024-06-07,2305.199951,2370.300049,2354.100098,2325.5,2322.899902,2335.0,2313.600098,2338.214286,2359.290469,2303.539675
2024-06-10,2307.699951,2024-06-10,2307.699951,2305.199951,2370.300049,2354.100098,2346.600098,2332.5,2332.100098,2333.185721,2358.128557,2305.526976
2024-06-11,2307.5,2024-06-11,2307.5,2307.699951,2305.199951,2370.300049,2325.5,2355.199951,2367.300049,2330.985735,2355.280936,2307.861898
2024-06-12,2336.0,2024-06-12,2336.0,2307.5,2307.699951,2305.199951,2354.100098,2340.300049,2336.100098,2329.471436,2355.27617,2310.411106
2024-06-13,2300.199951,2024-06-13,2300.199951,2336.0,2307.5,2307.699951,2370.300049,2342.899902,2353.399902,2325.857143,2352.742839,2312.588883
2024-06-14,2331.399902,2024-06-14,2331.399902,2300.199951,2336.0,2307.5,2305.199951,2322.899902,2388.699951,2322.614258,2350.014265,2315.352372
2024-06-17,2312.399902,2024-06-17,2312.399902,2331.399902,2300.199951,2336.0,2307.699951,2346.600098,2380.0,2314.342808,2346.795213,2317.760308
2024-06-18,2330.399902,2024-06-18,2330.399902,2312.399902,2331.399902,2300.199951,2307.5,2325.5,2412.199951,2317.942801,2342.899972,2320.523798
2024-06-20,2353.800049,2024-06-20,2353.800049,2330.399902,2312.399902,2331.399902,2336.0,2354.100098,2433.899902,2324.52853,2339.085693,2323.633324
2024-06-21,2316.399902,2024-06-21,2316.399902,2353.800049,2330.399902,2312.399902,2300.199951,2370.300049,2421.699951,2325.799944,2334.071405,2325.760308
2024-06-24,2330.0,2024-06-24,2330.0,2316.399902,2353.800049,2330.399902,2331.399902,2305.199951,2389.199951,2324.942801,2331.25236,2328.488878
2024-06-25,2316.600098,2024-06-25,2316.600098,2330.0,2316.399902,2353.800049,2312.399902,2307.699951,2335.0,2327.285679,2330.376174,2330.739672
2024-06-26,2299.199951,2024-06-26,2299.199951,2316.600098,2330.0,2316.399902,2330.399902,2307.5,2332.5,2322.685686,2328.790458,2332.701575
2024-06-27,2324.5,2024-06-27,2324.5,2299.199951,2316.600098,2330.0,2353.800049,2336.0,2355.199951,2324.414272,2327.328555,2334.82697
2024-06-28,2327.699951,2024-06-28,2327.699951,2324.5,2299.199951,2316.600098,2316.399902,2300.199951,2340.300049,2324.028564,2326.728551,2336.577765
2024-07-01,2327.600098,2024-07-01,2327.600098,2327.699951,2324.5,2299.199951,2330.0,2331.399902,2342.899902,2320.285714,2325.999988,2338.023798
2024-07-02,2323.0,2024-07-02,2323.0,2327.600098,2327.699951,2324.5,2316.600098,2312.399902,2322.899902,2321.228585,2326.004755,2339.007925
2024-07-03,2359.800049,2024-07-03,2359.800049,2323.0,2327.600098,2327.699951,2299.199951,2330.399902,2346.600098,2325.485735,2326.633324,2340.046022
2024-07-05,2388.5,2024-07-05,2388.5,2359.800049,2323.0,2327.600098,2324.5,2353.800049,2325.5,2335.75715,2329.633324,2341.628561
2024-07-08,2355.199951,2024-07-08,2355.199951,2388.5,2359.800049,2323.0,2327.699951,2316.399902,2354.100098,2343.75715,2329.685698,2342.096815
2024-07-09,2360.100098,2024-07-09,2360.100098,2355.199951,2388.5,2359.800049,2327.600098,2330.0,2370.300049,2348.842878,2329.199986,2342.547611
2024-07-10,2372.199951,2024-07-10,2372.199951,2360.100098,2355.199951,2388.5,2323.0,2316.600098,2305.199951,2355.200021,2332.390462,2343.003166
2024-07-11,2415.0,2024-07-11,2415.0,2372.199951,2360.100098,2355.199951,2359.800049,2299.199951,2307.699951,2367.685721,2337.499988,2344.35872
